data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,0.2,42,0.8497829437255859,0.8435529470443726,0.9516373872756958,0.7354685664176941,0,0,0,0.9182251691818237,0.8106691837310791,0.9327284693717957,0.892024576663971,0.9182251691818237,0.9032339453697205,14eebb47203f49b2bc169e21e293494b
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,0.1,42,0.8474936485290527,0.8440476059913635,0.9521334171295166,0.7359617948532104,0,0,0,0.9189585447311401,0.8122211694717407,0.9325335025787354,0.8901078104972839,0.9189585447311401,0.894162654876709,de6bbb3dc04e4e2f866112527a1a5426
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,5.0,42,0.8437011241912842,0.8441033959388733,0.9518647193908691,0.7363420724868774,0,0,0,0.9185918569564819,0.8113456964492798,0.9329156279563904,0.8922359943389893,0.9185918569564819,0.8849092125892639,ffbb6da5071b4a9e803246e5664cd33f
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,2.0,21,0.8550373315811157,0.8534660339355469,0.9595916867256165,0.7473404407501221,0,0,0,0.9303263425827026,0.8429265022277832,0.9328401684761047,0.8650771379470825,0.9303263425827026,0.9023808240890503,c9bb939b86db4304a6731311e2a76960
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,0.5,42,0.8541086316108704,0.842697262763977,0.9581218361854553,0.7272727489471436,0,0,0,0.9273927211761475,0.8419010043144226,0.9275637865066528,0.8434992432594299,0.9273927211761475,0.897283136844635,54c13cdd587946aaa6e6169e2550ca82
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,0.2,21,0.8556099534034729,0.8527535200119019,0.9598811268806458,0.7456258535385132,0,0,0,0.9306930899620056,0.8454011082649231,0.9323424696922302,0.8606093525886536,0.9306930303573608,0.8975005149841309,57da67428fb5409a8761446cda425ab6
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,5.0,21,0.8463014364242554,0.8542646169662476,0.9585292935371399,0.75,0,0,0,0.928859531879425,0.836101233959198,0.933939516544342,0.8759294748306274,0.928859531879425,0.905100405216217,c77ce229a3134890b6086a3317cbe7f0
cmsb-tsd,2,bin,label,th,-,-,Loss.CE_Loss,-,-,21,0.8449648022651672,0.8593759536743164,0.9597774744033813,0.7589743733406067,0,0,0,0.9310597777366638,0.8397750854492188,0.9364663362503052,0.8830469846725464,0.9310597777366638,0.9099517464637756,607ff4c6e344475e98efe270ccddfc82
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,2.0,0,0.8533549308776855,0.8497822284698486,0.9554359316825867,0.7441285252571106,0,0,0,0.9240924119949341,0.8233118057250977,0.9334391951560974,0.8848790526390076,0.9240924119949341,0.9029526710510254,b02fb8c4ea794188b71d55ecbbd6913c
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,5.0,0,0.8547751903533936,0.8484351634979248,0.9595938324928284,0.7372764945030212,0,0,0,0.9299596548080444,0.8472248911857605,0.9302082061767578,0.8496583700180054,0.9299596548080444,0.8987622261047363,383786ae5edf42569e2517b726455249
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,0.2,0,0.853867769241333,0.8452469110488892,0.9569846391677856,0.7335092425346375,0,0,0,0.9259259104728699,0.8329920768737793,0.9291918277740479,0.8590307235717773,0.9259259700775146,0.8885369300842285,64bc43389d4a486288d581cfb9504529
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,0.5,0,0.8535033464431763,0.8470370173454285,0.9586601853370667,0.7354138493537903,0,0,0,0.9284928441047668,0.8419880867004395,0.9296305179595947,0.8523221015930176,0.9284928441047668,0.9052491188049316,0c414f55659b41818b95edcb95d09969
cmsb-tsd,2,bin,label,baseline,-,-,Loss.CE_Loss,-,-,42,0.8494186997413635,0.8410776853561401,0.9518046379089355,0.7303506731987,0,0,0,0.9182251691818237,0.8114686012268066,0.9304632544517517,0.8826661705970764,0.9182251691818237,0.8958255052566528,d07b9e2318f54ed7a37ef3ce83ab052e
cmsb-tsd,2,bin,label,baseline,-,-,Loss.CE_Loss,-,-,0,0.8500320911407471,0.8400869965553284,0.9594793319702148,0.7206946611404419,0,0,0,0.929226279258728,0.8548581600189209,0.9268540143966675,0.8270093202590942,0.929226279258728,0.9018721580505371,4fecc194f40a4ec18b35c8edb5c8a598
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,0.5,21,0.8492352962493896,0.8426904678344727,0.9573701024055481,0.7280108332633972,0,0,0,0.9262926578521729,0.8369767069816589,0.9276507496833801,0.8487139940261841,0.9262925982475281,0.8887356519699097,ba3608693e7c40bea678186fa27f5a0e
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,1.0,0,0.8484262228012085,0.8466348052024841,0.9556270241737366,0.7376425862312317,0,0,0,0.9240924119949341,0.8253146409988403,0.9309483170509338,0.8731810450553894,0.9240924119949341,0.9016798734664917,22455bf24510495fb0d8bed13df922c3
cmsb-tsd,2,bin,label,th,-,-,Loss.CE_Loss,-,-,42,0.8363751173019409,0.8371715545654297,0.9472762942314148,0.7270668148994446,0,0,0,0.9116244912147522,0.7987685799598694,0.9329231381416321,0.9010868668556213,0.9116244912147522,0.8974695205688477,89b7e19ffa5943d5a04089ff8c97f1d8
cmsb-tsd,2,bin,label,fl,-,-,Loss.Focal_Loss,-,0.1,0,0.853023886680603,0.8493165373802185,0.961044430732727,0.73758864402771,0,0,0,0.9321599006652832,0.857616126537323,0.930772066116333,0.8415684700012207,0.9321599006652832,0.9087074398994446,6cfc1d9ae5974669a38644a10a193706
