data_name,num_classes,data_type,size,rho,distribution,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,augmentation_rho,augmentation_percentage,augmentation_top_k,wce_alpha,fl_gamma,augmentation_bert_top_k,pl_seed,train_f1_macro,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,train_accuracy,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_auprc,val_f1_macro,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,val_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_auprc,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,best_epoch,mlflow_run_id,test_f1_macro_std
civil-comments-40k,2,bin,-,-,-,augmentation_external_data_preprocessing,-,-,5.0,-,-,-,-,,0,0.9809094667434692,0.9936386346817017,0.9681802988052368,0,0,0,0.9893970489501953,0.9810402393341064,0.9893941879272461,0.9807788133621216,0.9893970489501953,0.9965945482254028,0.793109655380249,0.9689147472381592,0.6173045039176941,0,0,0,0.9424999952316284,0.8114669322967529,0.9396025538444519,0.777255654335022,0.9424999952316284,0.8176343441009521,0.7950451374053955,0.9686675071716309,0.6214227080345154,0,0,0,0.9421250224113464,0.8073891401290894,0.9400339126586914,0.7838827967643738,0.9421250224113464,0.8214870691299438,0,d04ec7a4ec2149b1876271c53a855b5c,0.7950451374053955
civil-comments-40k,2,bin,-,-,-,augmentation_abusive_lexicon,-,-,2.0,0.3,3,-,-,,42,0.9932737350463867,0.9955189228057861,0.9910285472869873,0,0,0,0.9940232038497925,0.9934530854225159,0.9940215349197388,0.9930950403213501,0.9940232038497925,0.9996441006660461,0.7820321321487427,0.9672231078147888,0.5968412160873413,0,0,0,0.9393749833106995,0.7994350790977478,0.936320424079895,0.766982913017273,0.9393750429153442,0.8163076043128967,0.7925775647163391,0.9695088863372803,0.615646243095398,0,0,0,0.9434999823570251,0.8179374933242798,0.9398730993270874,0.7717458009719849,0.9434999823570251,0.8311365246772766,0,7f931bf4c2f14cbd9ab055eba48f5246,0.7925775647163391
civil-comments-40k,2,bin,-,-,-,augmentation_abusive_lexicon,-,-,2.0,0.3,3,-,-,,0,0.9931766390800476,0.9954478740692139,0.9909054040908813,0,0,0,0.9939326047897339,0.9930096864700317,0.9939351677894592,0.9933440685272217,0.9939326047897339,0.9996210336685181,0.7779476642608643,0.9627507328987122,0.5931445360183716,0,0,0,0.9317499995231628,0.7665588855743408,0.9349566102027893,0.7907068133354187,0.9317500591278076,0.8029193878173828,0.7941308617591858,0.9660058617591858,0.6222558617591858,0,0,0,0.937624990940094,0.7853666543960571,0.9396906495094299,0.803627073764801,0.9376250505447388,0.8272637128829956,1,92af8df2f446464a915939583c22b855,0.7941308617591858
civil-comments-40k,2,bin,-,-,-,augmentation_abusive_lexicon,-,-,5.0,0.1,5,-,-,,0,0.991423487663269,0.9971489310264587,0.9856980443000793,0,0,0,0.995245635509491,0.9924991726875305,0.995238184928894,0.9903554320335388,0.9952456951141357,0.9987412691116333,0.7925012111663818,0.968849241733551,0.6161531805992126,0,0,0,0.9423750042915344,0.8110986948013306,0.939434826374054,0.7764731645584106,0.9423750042915344,0.8185043931007385,0.7958081960678101,0.9693201780319214,0.622296154499054,0,0,0,0.9432500004768372,0.813808798789978,0.9404622316360474,0.7801993489265442,0.9432500004768372,0.833497166633606,1,263a921b7734468e9940221c0767aea6,0.7958081960678101
civil-comments-40k,2,bin,-,-,-,fl,-,-,-,-,-,-,1.0,,42,0.9869168996810913,0.9979175925254822,0.9759162068367004,0,0,0,0.9961666464805603,0.9880847930908203,0.9961587190628052,0.9857558608055115,0.9961667060852051,0.9971491694450378,0.7849446535110474,0.9683600068092346,0.6015293002128601,0,0,0,0.9413750171661377,0.8098995089530945,0.9375393390655518,0.7644970417022705,0.9413750171661377,0.8219845294952393,0.7813308238983154,0.9677463173866272,0.5949152708053589,0,0,0,0.9402499794960022,0.8045596480369568,0.9364830255508423,0.7621062994003296,0.9402499794960022,0.8228026032447815,2,69161639c0e041539d165cd7f7da5bcd,0.7813308238983154
civil-comments-40k,2,bin,-,-,-,augmentation_abusive_lexicon,-,-,7.5,0.3,3,-,-,,21,0.9884446859359741,0.9972835779190063,0.9796057343482971,0,0,0,0.9952057600021362,0.9888769388198853,0.995201826095581,0.9880134463310242,0.9952057600021362,0.9982673525810242,0.7877492904663086,0.9680297374725342,0.6074689030647278,0,0,0,0.9408749938011169,0.8049600124359131,0.9379857778549194,0.7727998495101929,0.9408749938011169,0.8116108179092407,0.7907309532165527,0.9685050249099731,0.6129568219184875,0,0,0,0.9417499899864197,0.8078792095184326,0.9389431476593018,0.7758054733276367,0.9417499899864197,0.8156372308731079,2,3ba24d0f185a42568a77e864827a062c,0.7907309532165527
civil-comments-40k,2,bin,-,-,-,augmentation_abusive_lexicon,-,-,2.0,0.1,5,-,-,,21,0.9937163591384888,0.9958124756813049,0.9916202425956726,0,0,0,0.9944155812263489,0.993817150592804,0.9944145679473877,0.9936157464981079,0.9944155812263489,0.9996597766876221,0.7781567573547363,0.9666125774383545,0.5897009968757629,0,0,0,0.9382500052452087,0.7950604557991028,0.935165286064148,0.763513445854187,0.9382500052452087,0.8169972896575928,0.789494514465332,0.9691083431243896,0.6098807454109192,0,0,0,0.9427499771118164,0.815198540687561,0.9389942288398743,0.7684751749038696,0.9427499771118164,0.8246986269950867,0,401af74dfbe844898764566df0bdd4f0,0.789494514465332
civil-comments-40k,2,bin,-,-,-,baseline,-,-,-,-,-,-,-,,0,0.9583083391189575,0.9934179186820984,0.9231987595558167,0,0,0,0.9878749847412109,0.9628976583480835,0.9877738356590271,0.953827977180481,0.9878750443458557,0.9823716878890991,0.8023525476455688,0.9711434841156006,0.6335616707801819,0,0,0,0.9465000033378601,0.8317134976387024,0.9428622722625732,0.7787147164344788,0.9465000033378601,0.840111494064331,0.7975516319274902,0.9712017178535461,0.6239016056060791,0,0,0,0.9465000033378601,0.8361333608627319,0.9421484470367432,0.7683652639389038,0.9465000033378601,0.8406277894973755,0,150c1538e25b48138b5437ecfb41309a,0.7975516319274902
civil-comments-40k,2,bin,-,-,-,augmentation_abusive_lexicon,-,-,2.0,0.3,5,-,-,,42,0.9939872622489929,0.9959940910339355,0.9919804334640503,0,0,0,0.9946570992469788,0.9941555857658386,0.9946557879447937,0.993819534778595,0.9946571588516235,0.9996389150619507,0.7911912798881531,0.9672431349754333,0.6151394248008728,0,0,0,0.9396250247955322,0.7961800694465637,0.9386500716209412,0.7864115238189697,0.9396250247955322,0.818537175655365,0.8009719252586365,0.9691755175590515,0.6327683329582214,0,0,0,0.9431250095367432,0.8094992637634277,0.9416704177856445,0.7930154800415039,0.9431250095367432,0.8318198323249817,0,fc1040d85e96432d818765c89d7e4fb9,0.8009719252586365
civil-comments-40k,2,bin,-,-,-,augmentation_abusive_lexicon,-,-,5.0,0.3,5,-,-,,21,0.9869979619979858,0.9956782460212708,0.9783176183700562,0,0,0,0.9927930235862732,0.9881086349487305,0.9927797913551331,0.9858953952789307,0.9927930235862732,0.9978179931640625,0.7821602821350098,0.9718714356422424,0.5924491882324219,0,0,0,0.9473749995231628,0.8664342761039734,0.941875696182251,0.7334591746330261,0.9473749399185181,0.835274875164032,0.787930965423584,0.9727491140365601,0.6031128168106079,0,0,0,0.9490000009536743,0.8758853077888489,0.9439771771430969,0.7375134229660034,0.9490000009536743,0.8495879173278809,0,baa14d54e7974cb29f917ccd8c9e3be7,0.787930965423584
