data_name,num_classes,data_type,size,rho,distribution,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,augmentation_rho,augmentation_percentage,augmentation_top_k,wce_alpha,fl_gamma,val_f1_macro,test_f1_macro,test_f1_macro_std,train_f1_macro,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,train_accuracy,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_auprc,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,val_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_auprc,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_oversampling,1.0,-,-,-,-,-,-,87.81,87.45,0.44,99.82,99.82,99.82,0.0,0.0,0.0,99.82,99.82,99.82,99.82,99.82,99.97,98.38,77.24,0.0,0.0,0.0,96.97,89.88,96.85,85.98,96.97,91.43,98.36,76.53,0.0,0.0,0.0,96.94,90.31,96.8,85.04,96.94,91.51
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_oversampling,2.0,-,-,-,-,-,-,87.53,87.45,0.34,99.75,99.83,99.67,0.0,0.0,0.0,99.78,99.74,99.78,99.76,99.78,99.99,98.37,76.68,0.0,0.0,0.0,96.96,90.52,96.82,85.05,96.96,91.38,98.38,76.52,0.0,0.0,0.0,96.97,90.77,96.82,84.71,96.97,91.76
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_oversampling,3.0,-,-,-,-,-,-,88.02,87.49,0.61,99.75,99.87,99.62,0.0,0.0,0.0,99.81,99.74,99.81,99.75,99.81,99.99,98.38,77.65,0.0,0.0,0.0,96.98,89.5,96.89,86.67,96.98,91.44,98.32,76.66,0.0,0.0,0.0,96.86,89.04,96.76,86.1,96.86,91.36
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_oversampling,5.0,-,-,-,-,-,-,87.97,87.24,0.44,99.74,99.91,99.57,0.0,0.0,0.0,99.86,99.74,99.86,99.74,99.86,99.99,98.43,77.51,0.0,0.0,0.0,97.07,91.23,96.96,85.38,97.07,91.24,98.35,76.14,0.0,0.0,0.0,96.91,90.54,96.78,84.65,96.91,91.76
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_oversampling,7.5,-,-,-,-,-,-,88.27,87.65,0.28,99.5,99.88,99.11,0.0,0.0,0.0,99.79,99.56,99.79,99.43,99.79,99.94,98.44,78.1,0.0,0.0,0.0,97.09,90.45,96.97,86.36,97.09,91.93,98.35,76.95,0.0,0.0,0.0,96.92,89.48,96.81,86.03,96.92,91.41
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_oversampling,10.0,-,-,-,-,-,-,87.89,87.39,0.76,99.5,99.91,99.09,0.0,0.0,0.0,99.84,99.55,99.84,99.46,99.84,99.92,98.36,77.41,0.0,0.0,0.0,96.95,89.47,96.87,86.56,96.95,90.1,98.32,76.45,0.0,0.0,0.0,96.87,89.46,96.77,85.73,96.87,90.36
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_undersampling,1.0,-,-,-,-,-,-,86.36,85.49,0.78,98.7,98.69,98.71,0.0,0.0,0.0,98.7,98.71,98.71,98.7,98.7,99.8,97.95,74.77,0.0,0.0,0.0,96.21,84.45,96.49,88.6,96.21,90.82,97.82,73.17,0.0,0.0,0.0,95.96,83.49,96.27,87.85,95.96,90.8
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_undersampling,2.0,-,-,-,-,-,-,86.15,86.0,1.13,98.06,98.69,97.42,0.0,0.0,0.0,98.27,97.91,98.28,98.21,98.27,99.69,98.09,74.2,0.0,0.0,0.0,96.45,86.84,96.39,85.5,96.45,90.53,98.07,73.92,0.0,0.0,0.0,96.4,86.53,96.36,85.51,96.4,90.5
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_undersampling,3.0,-,-,-,-,-,-,87.33,87.45,0.52,99.1,99.55,98.66,0.0,0.0,0.0,99.32,98.95,99.33,99.25,99.32,99.86,98.23,76.44,0.0,0.0,0.0,96.7,87.49,96.7,87.24,96.7,91.48,98.25,76.64,0.0,0.0,0.0,96.75,87.77,96.74,87.21,96.75,91.62
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_undersampling,5.0,-,-,-,-,-,-,87.49,87.7,0.24,99.38,99.79,98.96,0.0,0.0,0.0,99.65,99.34,99.65,99.42,99.65,99.9,98.28,76.7,0.0,0.0,0.0,96.8,88.44,96.75,86.68,96.8,91.44,98.34,77.05,0.0,0.0,0.0,96.91,89.19,96.82,86.37,96.91,91.33
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_undersampling,7.5,-,-,-,-,-,-,87.68,87.16,0.29,99.41,99.86,98.96,0.0,0.0,0.0,99.76,99.34,99.76,99.49,99.76,99.9,98.37,76.99,0.0,0.0,0.0,96.95,90.04,96.85,85.77,96.95,91.55,98.3,76.02,0.0,0.0,0.0,96.83,89.68,96.73,85.19,96.83,91.81
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_undersampling,10.0,-,-,-,-,-,-,87.41,87.39,0.47,99.25,99.86,98.64,0.0,0.0,0.0,99.75,99.24,99.75,99.26,99.75,99.86,98.25,76.57,0.0,0.0,0.0,96.74,87.77,96.72,87.13,96.74,91.37,98.25,76.53,0.0,0.0,0.0,96.74,87.73,96.72,87.1,96.74,91.5
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_weightedRS_combi,-,0.0,-,-,-,-,-,87.7,87.33,0.25,99.82,99.82,99.82,0.0,0.0,0.0,99.82,99.82,99.82,99.82,99.82,99.99,98.35,77.06,0.0,0.0,0.0,96.91,89.38,96.82,86.23,96.91,91.72,98.28,76.37,0.0,0.0,0.0,96.8,88.63,96.72,86.17,96.8,91.26
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_weightedRS_combi,-,0.25,-,-,-,-,-,87.7,87.36,0.51,99.8,99.8,99.8,0.0,0.0,0.0,99.8,99.8,99.8,99.8,99.8,99.99,98.33,77.08,0.0,0.0,0.0,96.89,89.15,96.83,86.56,96.89,91.77,98.29,76.43,0.0,0.0,0.0,96.8,88.74,96.74,86.21,96.8,91.62
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_weightedRS_combi,-,0.5,-,-,-,-,-,87.52,87.19,0.42,99.79,99.79,99.79,0.0,0.0,0.0,99.79,99.79,99.79,99.79,99.79,99.99,98.3,76.74,0.0,0.0,0.0,96.83,88.63,96.75,86.49,96.83,90.7,98.26,76.12,0.0,0.0,0.0,96.76,88.37,96.68,86.11,96.76,90.87
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_weightedRS_combi,-,0.75,-,-,-,-,-,87.03,86.86,1.16,99.85,99.85,99.85,0.0,0.0,0.0,99.85,99.85,99.85,99.85,99.85,99.98,98.31,75.75,0.0,0.0,0.0,96.84,90.08,96.71,84.64,96.84,91.42,98.29,75.42,0.0,0.0,0.0,96.8,90.17,96.69,84.31,96.8,91.22
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",th,-,-,-,-,-,-,-,86.54,86.18,1.1,99.04,99.87,98.21,0.0,0.0,0.0,99.75,99.13,99.75,98.95,99.75,99.83,98.06,75.02,0.0,0.0,0.0,96.4,85.85,96.51,87.39,96.4,90.56,98.02,74.34,0.0,0.0,0.0,96.32,85.79,96.43,86.78,96.32,90.57
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wce,-,-,-,-,-,0.1,-,86.94,86.44,0.44,98.35,99.78,96.92,0.0,0.0,0.0,99.58,99.63,99.58,97.16,99.58,99.66,98.37,75.51,0.0,0.0,0.0,96.95,92.19,96.8,83.09,96.95,90.39,98.32,74.56,0.0,0.0,0.0,96.85,91.73,96.68,82.62,96.85,89.51
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wce,-,-,-,-,-,0.25,-,87.21,87.66,0.49,99.08,99.87,98.28,0.0,0.0,0.0,99.76,99.55,99.76,98.61,99.76,99.82,98.31,76.1,0.0,0.0,0.0,96.85,89.74,96.73,85.13,96.85,90.96,98.38,76.94,0.0,0.0,0.0,96.97,90.17,96.84,85.54,96.97,91.23
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wce,-,-,-,-,-,0.75,-,87.6,87.39,0.38,98.95,99.85,98.04,0.0,0.0,0.0,99.72,98.5,99.73,99.4,99.72,99.86,98.33,76.88,0.0,0.0,0.0,96.88,89.23,96.8,86.21,96.88,91.03,98.3,76.47,0.0,0.0,0.0,96.83,88.97,96.75,86.05,96.83,90.95
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wce,-,-,-,-,-,0.9,-,87.48,86.77,1.18,98.79,99.83,97.75,0.0,0.0,0.0,99.68,97.97,99.69,99.65,99.68,99.77,98.31,76.65,0.0,0.0,0.0,96.85,88.95,96.75,86.16,96.85,90.53,98.23,75.31,0.0,0.0,0.0,96.7,88.5,96.58,85.22,96.7,89.68
