data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_mode,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
us-election-2020,2,bin,label,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,0.1,ignored,21,0.8028451204299927,0.7444349527359009,0.9582577347755432,0.5306122303009033,0,0,0.9233333468437195,0.8039215803146362,0.9141830205917358,0.7083241939544678,0.9233333468437195,0.7654498219490051,6a139d74b0264b0b92934b737fd87459
us-election-2020,2,bin,label,sampling_weightedRS,ignored,ignored,2.0,Loss.CE_Loss,ignored,ignored,0,0.8280520439147949,0.743468165397644,0.9491211771965027,0.5378151535987854,0,0,0.9083333611488342,0.7416666746139526,0.9090278148651123,0.7453083992004395,0.9083333611488342,0.7315289974212646,24b541ad8926425f87d763ed0c9e87af
us-election-2020,2,bin,label,sampling_weightedRS,ignored,ignored,1.0,Loss.CE_Loss,ignored,ignored,21,0.7871978282928467,0.7274351119995117,0.9463955760002136,0.508474588394165,0,0,0.903333306312561,0.7274351119995117,0.9033333659172058,0.7274351119995117,0.9033333659172058,0.7443941235542297,9625b3792bd24e96a15ae1891dfc46c7
us-election-2020,2,bin,label,sampling_modifiedRS_oversampling,oversampling,5,ignored,Loss.CE_Loss,ignored,ignored,0,0.7958873510360718,0.7397831678390503,0.9522935748100281,0.5272727012634277,0,0,0.9133333563804626,0.7569913268089294,0.9083103537559509,0.7254300117492676,0.9133333563804626,0.7569454908370972,2b5f3a3a0eb3455ab8f1139d0a6fbca3
us-election-2020,2,bin,label,sampling_weightedRS,ignored,ignored,2.0,Loss.CE_Loss,ignored,ignored,21,0.8042219877243042,0.7685185074806213,0.9537037014961243,0.5833333134651184,0,0,0.9166666865348816,0.7646217942237854,0.9179390072822571,0.772580623626709,0.9166666865348816,0.7822704911231995,074da89e803e43ee8037041d5d607512
us-election-2020,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.0,ignored,Loss.CE_Loss,ignored,ignored,0,0.7838277816772461,0.7490909099578857,0.9581817984580994,0.5400000214576721,0,0,0.9233333468437195,0.8006457686424255,0.9148067831993103,0.7158745527267456,0.9233333468437195,0.7136064171791077,a95001dda6e849a58517c85ad6a28e77
us-election-2020,2,bin,label,sampling_weightedRS,ignored,ignored,0.0,Loss.CE_Loss,ignored,ignored,21,0.7960450649261475,0.753807783126831,0.9540441036224365,0.5535714030265808,0,0,0.9166666865348816,0.766858696937561,0.9130276441574097,0.7423791289329529,0.9166666865348816,0.7745364308357239,8228292afaad44dcb7fbf1806344094b
us-election-2020,2,bin,label,baseline,ignored,ignored,ignored,Loss.CE_Loss,ignored,ignored,0,0.7801858186721802,0.744349479675293,0.9612263441085815,0.5274725556373596,0,0,0.9283333420753479,0.8441901206970215,0.9198563098907471,0.695996105670929,0.9283333420753479,0.7709929347038269,866b2d9149dc4b42ae29342dd2beea88
us-election-2020,2,bin,label,sampling_weightedRS,ignored,ignored,1.0,Loss.CE_Loss,ignored,ignored,0,0.7763518691062927,0.7341397404670715,0.9472710490226746,0.5210084319114685,0,0,0.9049999713897705,0.7324073910713196,0.9057191014289856,0.735909640789032,0.9050000309944153,0.7229933738708496,d2cff6109c9e42fd9d94cf22fc3c5973
us-election-2020,2,bin,label,sampling_weightedRS,ignored,ignored,0.5,Loss.CE_Loss,ignored,ignored,0,0.8100664615631104,0.7437734603881836,0.9449113011360168,0.5426356792449951,0,0,0.9016666412353516,0.7273584604263306,0.9100031852722168,0.7642626762390137,0.9016666412353516,0.730913519859314,592de71336d74250ac21056d4e2b64cc
us-election-2020,2,bin,label,sampling_modifiedRS_oversampling,oversampling,2.0,ignored,Loss.CE_Loss,ignored,ignored,0,0.8102084994316101,0.7439600825309753,0.9522058963775635,0.5357142686843872,0,0,0.9133333563804626,0.7565106153488159,0.9095239043235779,0.7329803705215454,0.9133333563804626,0.7653558254241943,58d6c380a1e341b1bd71c4204f65f980
us-election-2020,2,bin,label,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,0.75,ignored,0,0.8128460645675659,0.7524591684341431,0.9467787146568298,0.5581395626068115,0,0,0.9049999713897705,0.7354447841644287,0.9131091833114624,0.7736614346504211,0.9050000309944153,0.7472044229507446,f88de6af68ad43e79cb91ba2bccbaf14
us-election-2020,2,bin,label,sampling_weightedRS,ignored,ignored,-0.5,Loss.CE_Loss,ignored,ignored,21,0.7788211107254028,0.7899553179740906,0.9604415893554688,0.6194690465927124,0,0,0.9283333420753479,0.8020960092544556,0.9257675409317017,0.7790501117706299,0.9283333420753479,0.781174898147583,7dd36b5e3eb44893b7a405a5eeb15c95
us-election-2020,2,bin,label,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,0.9,ignored,21,0.8134316205978394,0.7633488178253174,0.950697660446167,0.5759999752044678,0,0,0.9116666913032532,0.7511917352676392,0.9164671897888184,0.7773582935333252,0.9116666913032532,0.7707325220108032,f01ca340e8964307b7b11207a72662b4
us-election-2020,2,bin,label,sampling_modifiedRS_oversampling,oversampling,3,ignored,Loss.CE_Loss,ignored,ignored,0,0.7739449143409729,0.7490295171737671,0.9468778967857361,0.5511810779571533,0,0,0.9049999713897705,0.7347965240478516,0.9116027355194092,0.7661111354827881,0.9050000309944153,0.7801848649978638,38b0390c58e842caafc3da32cdb34b5a
