data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_mode,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.5,ignored,Loss.CE_Loss,ignored,ignored,21,0.8022834658622742,0.7642181515693665,0.9477911591529846,0.5806451439857483,0,0,0.9071428775787354,0.7166666984558105,0.941428542137146,0.8664552569389343,0.9071428179740906,0.6991991400718689,0a1ef7b0cb174ffab9dd43fad6a3b898
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,3.0,ignored,Loss.CE_Loss,ignored,ignored,42,0.8176470994949341,0.7278127670288086,0.9465346336364746,0.5090909004211426,0,0,0.9035714268684387,0.6959269046783447,0.9249180555343628,0.7813601493835449,0.9035714268684387,0.6587289571762085,8c8d5da141694e9da5ccbd0dcdbf3396
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.0,ignored,Loss.CE_Loss,ignored,ignored,21,0.770370364189148,0.7745571732521057,0.95652174949646,0.5925925970077515,0,0,0.9214285612106323,0.7379032373428345,0.9384216666221619,0.832628607749939,0.9214285612106323,0.6649852395057678,5be71bb5ad6e4e588dafe2a9a658ad96
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.0,ignored,Loss.CE_Loss,ignored,ignored,42,0.802514910697937,0.7278127670288086,0.9465346336364746,0.5090909004211426,0,0,0.9035714268684387,0.6959269046783447,0.9249180555343628,0.7813601493835449,0.9035714268684387,0.6935945153236389,543334f8fc714a8c9684124b65e9cbb8
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,2.0,ignored,Loss.CE_Loss,ignored,ignored,42,0.7949877977371216,0.7307322025299072,0.9442231059074402,0.517241358757019,0,0,0.8999999761581421,0.6939890384674072,0.9277322292327881,0.8002114295959473,0.8999999761581421,0.677396297454834,f0e652871c4c4a629699afd16a43b22a
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,7.5,ignored,Loss.CE_Loss,ignored,ignored,42,0.8104619979858398,0.7145097851753235,0.9490196108818054,0.47999998927116394,0,0,0.9071428775787354,0.6944444179534912,0.9185373783111572,0.7417194843292236,0.9071428775787354,0.6835113167762756,76a10751859b4026a19883f6b2e8b995
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,2.0,ignored,Loss.CE_Loss,ignored,ignored,21,0.7810947299003601,0.7386666536331177,0.9440000057220459,0.5333333611488342,0,0,0.8999999761581421,0.6981296539306641,0.9316659569740295,0.8210006952285767,0.8999999761581421,0.6785475611686707,2fff9b55261341f69c415d389a5f6e06
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.2,ignored,Loss.CE_Loss,ignored,ignored,21,0.785820722579956,0.7456087470054626,0.9527559280395508,0.5384615659713745,0,0,0.9142857193946838,0.7173333168029785,0.9286095499992371,0.7871740460395813,0.9142857193946838,0.6728450059890747,e33eed9dfb984dc9a28973ec17dc5115
bretschneider-th-school,2,bin,label,baseline,ignored,ignored,ignored,Loss.CE_Loss,ignored,ignored,42,0.7499174475669861,0.6300210952758789,0.9418604373931885,0.3181818127632141,0,0,0.8928571343421936,0.6300210952758789,0.8928571343421936,0.6300210952758789,0.8928571343421936,0.644728422164917,843c6e5327284e6db43606d4a75a0077
bretschneider-th-school,2,bin,label,baseline,ignored,ignored,ignored,Loss.CE_Loss,ignored,ignored,21,0.786769688129425,0.7130727767944336,0.9446640610694885,0.48148149251937866,0,0,0.8999999761581421,0.6849797964096069,0.9199092388153076,0.7586328387260437,0.8999999761581421,0.6780728101730347,79cea1fa763e493aa1197292ec222411
bretschneider-th-school,2,bin,label,baseline,ignored,ignored,ignored,Loss.CE_Loss,ignored,ignored,0,0.7810947299003601,0.751634418964386,0.945891797542572,0.5573770403862,0,0,0.9035714268684387,0.707575261592865,0.936560869216919,0.8437279462814331,0.9035714268684387,0.7024661898612976,979aee924f6042a18a6e95f65cffa920
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,7.5,ignored,Loss.CE_Loss,ignored,ignored,0,0.785820722579956,0.6300210952758789,0.9418604373931885,0.3181818127632141,0,0,0.8928571343421936,0.6300210952758789,0.8928571343421936,0.6300210952758789,0.8928571343421936,0.6634876728057861,fe07bc6c6ab9498c86563b3aa988110b
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.5,ignored,Loss.CE_Loss,ignored,ignored,0,0.7720588445663452,0.7278127670288086,0.9465346336364746,0.5090909004211426,0,0,0.9035714268684387,0.6959269046783447,0.9249180555343628,0.7813601493835449,0.9035714268684387,0.6659905910491943,5a6bb2583b4c49d7956dc2284e090d22
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,oversampling,2.0,ignored,Loss.CE_Loss,ignored,ignored,0,0.7606232166290283,0.7157841324806213,0.9533073902130127,0.47826087474823,0,0,0.9142857193946838,0.7076823115348816,0.9178478717803955,0.7248061895370483,0.9142857193946838,0.6539767980575562,df6991caafac4fcdac78ff349586076e
