data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
waseem-and-hovy-2016,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.9,1.0,42,0.8602015972137451,0.8635810017585754,0.9242945909500122,0.8028674125671387,0,0,0,0.8906016945838928,0.8541292548179626,0.8951011896133423,0.8750755786895752,0.8906016945838928,0.924095630645752,6cd46a1e06d84f3daa98f31c52762482
waseem-and-hovy-2016,2,bin,label,baseline,-,-,Loss.CE_Loss,-,-,42,0.8648722171783447,0.8666136264801025,0.9298245906829834,0.8034026622772217,0,0,0,0.8965688943862915,0.8679654598236084,0.8962109684944153,0.8652913570404053,0.8965688347816467,0.9225417971611023,3ab5d76995b04555afab94a35aa7cad1
waseem-and-hovy-2016,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.5,0.1,0,0.8578943014144897,0.8617954254150391,0.9254341125488281,0.7981566786766052,0,0,0,0.8910989761352539,0.8575502634048462,0.8926559090614319,0.866386890411377,0.8910989761352539,0.9253977537155151,f754dbf639d64253b42d99a2711baf42
waseem-and-hovy-2016,2,bin,label,fl,-,-,Loss.Focal_Loss,-,0.1,21,0.8698091506958008,0.8784515857696533,0.9358108043670654,0.8210923075675964,0,0,0,0.9055196642875671,0.8789101839065552,0.9054076671600342,0.8779962062835693,0.9055196046829224,0.9405776858329773,6b1c3f783daa411d8f45295b5ff11cc9
waseem-and-hovy-2016,2,bin,label,th,-,-,Loss.CE_Loss,-,-,0,0.8747074604034424,0.8718500137329102,0.9314324259757996,0.8122676610946655,0,0,0,0.8995524644851685,0.8692754507064819,0.9003397226333618,0.8745412230491638,0.8995524644851685,0.9343267679214478,ba37913a736d41719696ad3ba90455a6
waseem-and-hovy-2016,2,bin,label,wce,-,-,Loss.Weighted_CE_Loss,0.75,-,21,0.8636093139648438,0.8583216667175293,0.9248985052108765,0.7917448282241821,0,0,0,0.8896071314811707,0.8578934669494629,0.8897416591644287,0.8587530851364136,0.8896071314811707,0.9223650693893433,225d56345516462b9e558334d5c3a05c
waseem-and-hovy-2016,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.1,0.5,42,0.8650349974632263,0.8548357486724854,0.929836094379425,0.7798354029655457,0,0,0,0.8935852646827698,0.8819867372512817,0.8916983604431152,0.8355809450149536,0.8935852646827698,0.9211433529853821,e3546d4cffd44be8911514e283e24677
waseem-and-hovy-2016,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.625,0.5,21,0.8681899905204773,0.8661543130874634,0.9335097670555115,0.7987987995147705,0,0,0,0.9000497460365295,0.8841248750686646,0.898127555847168,0.852011501789093,0.9000496864318848,0.9254094362258911,3d8054e4d56042cc928585f3688afc58
waseem-and-hovy-2016,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.25,5.0,21,0.86070716381073,0.855825662612915,0.9245791435241699,0.7870722413063049,0,0,0,0.8886126279830933,0.8585062026977539,0.8878684639930725,0.853262722492218,0.8886126279830933,0.9274466037750244,a916b8d7a3fa4793913cc45e2324f308
waseem-and-hovy-2016,2,bin,label,sampling_modifiedRS_oversampling,1.5,-,Loss.CE_Loss,-,-,42,0.8674832582473755,0.8717438578605652,0.9325236082077026,0.8109641075134277,0,0,0,0.9005469679832458,0.8731145858764648,0.9002037644386292,0.8704030513763428,0.9005469679832458,0.9310237169265747,36df1a86f3114174944b6d87a1a30ed8
