data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,1.5,-,Loss.CE_Loss,-,-,21,0.8022834658622742,0.7642181515693665,0.9477911591529846,0.5806451439857483,0,0,0,0.9071428775787354,0.7166666984558105,0.941428542137146,0.8664552569389343,0.9071428179740906,0.6991991400718689,0a1ef7b0cb174ffab9dd43fad6a3b898
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,3.0,-,Loss.CE_Loss,-,-,42,0.8176470994949341,0.7278127670288086,0.9465346336364746,0.5090909004211426,0,0,0,0.9035714268684387,0.6959269046783447,0.9249180555343628,0.7813601493835449,0.9035714268684387,0.6587289571762085,8c8d5da141694e9da5ccbd0dcdbf3396
bretschneider-th-school,2,bin,label,th,-,-,Loss.CE_Loss,-,-,21,0.8022834658622742,0.7252951860427856,0.9421157836914062,0.508474588394165,0,0,0,0.8964285850524902,0.6882994174957275,0.9267386198043823,0.7982734441757202,0.8964285254478455,0.7000072598457336,11f0e290907c472ba5c8d43460d1ef6e
bretschneider-th-school,2,bin,label,wce,-,-,Loss.Weighted_CE_Loss,0.9,-,21,0.7820386290550232,0.7449909448623657,0.9344262480735779,0.5555555820465088,0,0,0,0.8857142925262451,0.695652186870575,0.9448447227478027,0.8964059352874756,0.8857142925262451,0.6807434558868408,025017fd8f8a4ae19fbc5349a40f94b2
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,1.0,-,Loss.CE_Loss,-,-,21,0.770370364189148,0.7745571732521057,0.95652174949646,0.5925925970077515,0,0,0,0.9214285612106323,0.7379032373428345,0.9384216666221619,0.832628607749939,0.9214285612106323,0.6649852395057678,5be71bb5ad6e4e588dafe2a9a658ad96
bretschneider-th-school,2,bin,label,sampling_weightedRS,-,2.0,Loss.CE_Loss,-,-,0,0.786769688129425,0.7540624141693115,0.9525691866874695,0.5555555820465088,0,0,0,0.9142857193946838,0.7202621102333069,0.9322508573532104,0.8079633712768555,0.9142856597900391,0.6444178819656372,b4067e94e0b24f5dbaa2337056dc7578
bretschneider-th-school,2,bin,label,wce,-,-,Loss.Weighted_CE_Loss,0.25,-,42,0.739385187625885,0.656134843826294,0.9349112510681152,0.37735849618911743,0,0,0,0.8821428418159485,0.6371939182281494,0.9023679494857788,0.6865750551223755,0.8821428418159485,0.6359889507293701,1ae8cf30d4964c58854d732beb86facc
bretschneider-th-school,2,bin,label,sampling_weightedRS,-,-0.5,Loss.CE_Loss,-,-,42,0.7949734926223755,0.7252951860427856,0.9421157836914062,0.508474588394165,0,0,0,0.8964285850524902,0.6882994174957275,0.9267386198043823,0.7982734441757202,0.8964285254478455,0.6627542972564697,9d919d1d08f34b9abbf3bfe2ed456b57
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,1.0,-,Loss.CE_Loss,-,-,42,0.802514910697937,0.7278127670288086,0.9465346336364746,0.5090909004211426,0,0,0,0.9035714268684387,0.6959269046783447,0.9249180555343628,0.7813601493835449,0.9035714268684387,0.6935945153236389,543334f8fc714a8c9684124b65e9cbb8
bretschneider-th-school,2,bin,label,sampling_weightedRS,-,0.0,Loss.CE_Loss,-,-,21,0.777944803237915,0.7087715268135071,0.9469547867774963,0.47058823704719543,0,0,0,0.9035714268684387,0.6869762539863586,0.9172305464744568,0.7397815585136414,0.9035714268684387,0.6489027738571167,3ea8fb57386a4b65a64eb3adcba9ee2e
bretschneider-th-school,2,bin,label,sampling_weightedRS,-,0.5,Loss.CE_Loss,-,-,21,0.770370364189148,0.761904776096344,0.9523809552192688,0.5714285969734192,0,0,0,0.9142857193946838,0.7230989933013916,0.9359294772148132,0.8287526369094849,0.9142857193946838,0.6743289828300476,22cc93110af342f1b0e3d549f7d4fac6
bretschneider-th-school,2,bin,label,sampling_modifiedRS_oversampling,2.0,-,Loss.CE_Loss,-,-,42,0.7949877977371216,0.7307322025299072,0.9442231059074402,0.517241358757019,0,0,0,0.8999999761581421,0.6939890384674072,0.9277322292327881,0.8002114295959473,0.8999999761581421,0.677396297454834,f0e652871c4c4a629699afd16a43b22a
