data_name,num_classes,distribution,rho,size,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,wce_alpha,fl_gamma,val_f1_macro,test_f1_macro,test_f1_macro_std,train_accuracy,train_auprc,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_f1_macro,train_f1_weighted,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,val_accuracy,val_auprc,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_f1_weighted,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,test_accuracy,test_auprc,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_f1_weighted,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_modifiedRS_oversampling,5.0,-,-,-,79.63,70.38,0.74,96.79,96.7,92.25,97.19,97.42,96.79,94.57,96.88,98.04,91.1,0.0,0.0,0.0,94.31,72.62,76.05,95.35,84.79,94.31,94.72,96.92,62.33,0.0,0.0,0.0,91.44,64.79,67.59,93.16,74.86,91.44,92.17,95.35,45.41,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_modifiedRS_oversampling,7.5,-,-,-,78.66,70.36,0.91,96.6,94.37,89.3,97.14,96.68,96.6,92.52,96.75,98.05,87.0,0.0,0.0,0.0,94.14,73.93,75.52,95.07,83.02,94.14,94.52,96.83,60.48,0.0,0.0,0.0,91.67,66.53,67.93,93.11,74.14,91.67,92.28,95.49,45.24,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_modifiedRS_oversampling,10.0,-,-,-,77.9,70.42,1.69,96.31,91.42,87.24,96.71,92.73,96.31,89.58,96.43,97.95,81.2,0.0,0.0,0.0,94.02,73.6,75.11,94.86,81.7,94.02,94.37,96.78,59.03,0.0,0.0,0.0,92.3,65.37,68.89,92.99,72.38,92.3,92.61,95.86,44.97,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_weightedRS_combi,-,-0.5,-,-,80.1,71.74,1.12,97.43,97.56,97.45,97.51,97.48,97.43,97.43,97.43,97.45,97.41,0.0,0.0,0.0,94.31,72.46,76.46,95.57,86.05,94.31,94.77,96.91,63.29,0.0,0.0,0.0,92.01,65.33,69.12,93.48,76.01,92.01,92.62,95.67,47.81,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_weightedRS_combi,-,-0.25,-,-,80.32,70.29,0.34,97.7,98.23,97.81,97.77,97.66,97.7,97.69,97.7,97.61,97.78,0.0,0.0,0.0,94.31,71.99,76.11,95.63,86.89,94.31,94.8,96.91,63.73,0.0,0.0,0.0,90.92,64.85,67.08,93.29,76.26,90.92,91.89,95.04,45.53,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_weightedRS_combi,-,0.0,-,-,79.27,71.01,1.94,97.93,98.33,97.99,97.99,97.91,97.93,97.92,97.93,97.86,97.98,0.0,0.0,0.0,93.91,74.02,74.96,95.42,86.25,93.91,94.47,96.69,61.84,0.0,0.0,0.0,91.38,64.41,67.83,93.4,76.51,91.38,92.21,95.31,46.72,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_weightedRS_combi,-,0.25,-,-,80.6,74.1,0.4,97.73,98.31,97.76,97.81,97.78,97.73,97.73,97.73,97.74,97.72,0.0,0.0,0.0,94.2,75.46,75.86,95.81,88.5,94.2,94.77,96.84,64.35,0.0,0.0,0.0,92.18,66.9,70.31,94.21,80.71,92.18,92.98,95.74,52.46,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_weightedRS_combi,-,0.5,-,-,81.18,71.46,0.87,97.7,98.52,97.74,97.79,97.75,97.7,97.7,97.7,97.71,97.69,0.0,0.0,0.0,95.0,71.61,78.45,95.62,84.74,95.0,95.25,97.31,65.06,0.0,0.0,0.0,92.36,63.81,69.49,93.27,74.09,92.36,92.76,95.88,47.03,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_weightedRS_combi,-,0.75,-,-,80.24,70.62,1.43,97.71,98.34,97.75,97.8,97.76,97.71,97.71,97.71,97.72,97.7,0.0,0.0,0.0,94.25,73.79,76.28,95.71,87.28,94.25,94.75,96.88,63.61,0.0,0.0,0.0,91.09,65.34,67.79,93.45,76.77,91.09,92.0,95.13,46.12,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_weightedRS_oversampling,-,1.0,-,-,81.19,70.68,0.38,98.24,98.77,98.29,98.28,98.23,98.24,98.23,98.24,98.2,98.27,0.0,0.0,0.0,95.11,72.56,78.94,95.58,83.96,95.11,95.31,97.37,65.0,0.0,0.0,0.0,92.3,63.57,69.04,93.06,72.8,92.3,92.64,95.86,45.5,0.0,0.0,0.0
