data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
bretschneider-th-main,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.75,5.0,42,0.7776718139648438,0.7234454154968262,0.9518413543701172,0.49504950642585754,0,0,0,0.9120689630508423,0.6836845874786377,0.9393537640571594,0.8019262552261353,0.9120689630508423,0.6512906551361084,ccc6d29703794a618ba84a73e3e34080
bretschneider-th-main,2,bin,label,fl,-,-,Loss.Focal_Loss,-,2.0,42,0.7909599542617798,0.6820709109306335,0.9545032382011414,0.40963855385780334,0,0,0,0.915517270565033,0.6660560369491577,0.9247186779975891,0.7030262351036072,0.915517270565033,0.6366163492202759,866dbb9d4af04f75981b94e0a294433d
bretschneider-th-main,2,bin,label,sampling_weightedRS,-,0.0,Loss.CE_Loss,-,-,42,0.7916250824928284,0.7325031757354736,0.9548022747039795,0.5102040767669678,0,0,0,0.9172413945198059,0.6933573484420776,0.9407051801681519,0.8046886920928955,0.9172413945198059,0.6809381246566772,cd312cb365b04bd4b34a8050277a74fa
bretschneider-th-main,2,bin,label,fl,-,-,Loss.Focal_Loss,-,0.1,21,0.7982995510101318,0.6564630270004272,0.9567617177963257,0.3561643958091736,0,0,0,0.9189655184745789,0.6584967374801636,0.917940080165863,0.6544970273971558,0.9189655184745789,0.6337217092514038,f6670dbcd5774afb9170f92ed66327fa
bretschneider-th-main,2,bin,label,th,-,-,Loss.CE_Loss,-,-,42,0.7693747282028198,0.7470405101776123,0.9607476592063904,0.5333333611488342,0,0,0,0.9275861978530884,0.7140811681747437,0.9420000910758972,0.7976207733154297,0.9275862574577332,0.6799152493476868,ef3f475e51ad4bdda9784595088d7c54
bretschneider-th-main,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.936,0.1,0,0.7720470428466797,0.6961700320243835,0.9502347707748413,0.4421052634716034,0,0,0,0.9086207151412964,0.6657087802886963,0.9306083917617798,0.7497137784957886,0.9086207151412964,0.641511082649231,2c035fbe5f874d318dc2539b0b06297b
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,5.0,-,Loss.CE_Loss,-,-,21,0.8113702535629272,0.7105903625488281,0.9530956745147705,0.4680851101875305,0,0,0,0.9137930870056152,0.6786420941352844,0.9339777231216431,0.7650689482688904,0.9137930870056152,0.6559550166130066,d87cf5a69dbe4db981615bcf0790883e
bretschneider-th-main,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.25,0.1,21,0.4835262596607208,0.4835262596607208,0.9670525193214417,0.0,0,0,0,0.9362068772315979,0.46810343861579895,0.8764833211898804,0.5,0.9362068772315979,0.5796886682510376,5dced202bec34ed5817974d68f18125f
bretschneider-th-main,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.25,2.0,0,0.4835262596607208,0.4835262596607208,0.9670525193214417,0.0,0,0,0,0.9362068772315979,0.46810343861579895,0.8764833211898804,0.5,0.9362068772315979,0.5602725148200989,c53fc87997a3420c82f35a2fdd36fb12
bretschneider-th-main,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.1,1.0,0,0.4835262596607208,0.4835262596607208,0.9670525193214417,0.0,0,0,0,0.9362068772315979,0.46810343861579895,0.8764833211898804,0.5,0.9362068772315979,0.5407191514968872,d370e3c4b95349ee810f432477e9304b
