data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_mode,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
bretschneider-th-main,2,bin,label,baseline,ignored,ignored,ignored,Loss.CE_Loss,ignored,ignored,0,0.7663396596908569,0.6838712692260742,0.9574861526489258,0.41025641560554504,0,0,0.9206896424293518,0.6756414175033569,0.9246262311935425,0.6931959390640259,0.9206896424293518,0.632693350315094,e799aa2347dc481e928805950a028b2a
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.0,ignored,Loss.CE_Loss,ignored,ignored,0,0.799357533454895,0.7369773387908936,0.9578256607055664,0.5161290168762207,0,0,0.9224137663841248,0.7018811106681824,0.9403202533721924,0.7948583364486694,0.9224138259887695,0.6891833543777466,29d5eb5aa9ee433db0f731e81c450ed7
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,7.5,ignored,Loss.CE_Loss,ignored,ignored,21,0.7946538925170898,0.70136958360672,0.958294689655304,0.4444444477558136,0,0,0.9224137663841248,0.6868215799331665,0.9291175603866577,0.7193021774291992,0.9224137663841248,0.6830132603645325,d162acf3631244c6948c5d0d01b6e7a7
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,5.0,ignored,Loss.CE_Loss,ignored,ignored,42,0.7909599542617798,0.6959261298179626,0.9522918462753296,0.4395604431629181,0,0,0.9120689630508423,0.6690254807472229,0.9295763373374939,0.738962709903717,0.9120689630508423,0.6546903848648071,fec013696aab4d8cad7da1c63523298a
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,7.5,ignored,Loss.CE_Loss,ignored,ignored,0,0.7825411558151245,0.7135975360870361,0.9540768265724182,0.47311827540397644,0,0,0.915517270565033,0.6821155548095703,0.9344686269760132,0.7659897804260254,0.9155172109603882,0.6364048719406128,98dbe855b39e4ee0af1ab7a176fde3b9
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.0,ignored,Loss.CE_Loss,ignored,ignored,21,0.7992005944252014,0.7261825799942017,0.9579831957817078,0.49438202381134033,0,0,0.9224137663841248,0.6973339319229126,0.9365994930267334,0.7696729898452759,0.9224137663841248,0.6493098735809326,35097e5a9ff340fa894ae4cbe6d740ba
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.5,ignored,Loss.CE_Loss,ignored,ignored,42,0.8159233927726746,0.7229491472244263,0.9570093750953674,0.4888888895511627,0,0,0.9206896424293518,0.6933156847953796,0.9360398054122925,0.7687522172927856,0.9206896424293518,0.6606851816177368,e2c2a33e048149b4966222c8cde6f63c
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.2,ignored,Loss.CE_Loss,ignored,ignored,0,0.7988611459732056,0.7143638730049133,0.9581395387649536,0.47058823704719543,0,0,0.9224137663841248,0.6923558712005615,0.9328709840774536,0.7444875836372375,0.9224138259887695,0.6430660486221313,0af54ef577554b5a942572ddb735d73d
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,2.0,ignored,Loss.CE_Loss,ignored,ignored,0,0.7988611459732056,0.6976159811019897,0.9593345522880554,0.43589743971824646,0,0,0.9241379499435425,0.688764214515686,0.9279190301895142,0.7076302766799927,0.9241379499435425,0.6492246389389038,2d27be14f76640fa9bd0002afbe1c65e
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,1.2,ignored,Loss.CE_Loss,ignored,ignored,21,0.7988611459732056,0.7215424180030823,0.9620721340179443,0.4810126721858978,0,0,0.9293103218078613,0.7094618678092957,0.9337427616119385,0.7355781197547913,0.9293103218078613,0.6468425989151001,e1a1634e8a3e4bfca6a1df49a06e1e11
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,2.0,ignored,Loss.CE_Loss,ignored,ignored,21,0.8208217620849609,0.7143638730049133,0.9581395387649536,0.47058823704719543,0,0,0.9224137663841248,0.6923558712005615,0.9328709840774536,0.7444875836372375,0.9224138259887695,0.6413756608963013,33a673254fce45c38dd20716f3082423
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,5.0,ignored,Loss.CE_Loss,ignored,ignored,21,0.8113702535629272,0.7105903625488281,0.9530956745147705,0.4680851101875305,0,0,0.9137930870056152,0.6786420941352844,0.9339777231216431,0.7650689482688904,0.9137930870056152,0.6559550166130066,d87cf5a69dbe4db981615bcf0790883e
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,2.0,ignored,Loss.CE_Loss,ignored,ignored,42,0.8162813186645508,0.6950476169586182,0.9563602805137634,0.4337349534034729,0,0,0.9189655184745789,0.6778619289398193,0.9278587698936462,0.717460572719574,0.9189655184745789,0.6780272126197815,393a0fa9345e40c1964f865132b8fe5a
bretschneider-th-main,2,bin,label,sampling_modifiedRS_oversampling,oversampling,3.0,ignored,Loss.CE_Loss,ignored,ignored,0,0.7986111044883728,0.7043114900588989,0.9612545967102051,0.44736841320991516,0,0,0.9275861978530884,0.6994644403457642,0.9294039607048035,0.7094718813896179,0.9275861978530884,0.6785650253295898,bf6b3571b7db4abb99499f9629b96fab
